malicious_votes,harmless_votes,malicious_ratio,shodan_blocked,dns_record_count,total_open_ports,high_risk_country,domain_age_days,has_wildcard_dns,nameserver_count,has_mx,otx_pulse_count,urlhaus_listed,domain_age_known,label,indicator
0,55,0.0,0,10,0,0,3650,0,2,1,0,0,1,0,adtmag.com
0,57,0.0,0,7,0,0,3650,0,2,1,0,0,1,0,takingthekids.com
0,56,0.0,0,4,0,0,3650,0,6,1,0,0,1,0,realclearhistory.com
0,58,0.0,0,10,0,0,3650,0,2,1,1,0,1,0,apcointl.org
0,56,0.0,0,7,0,0,3650,0,2,1,0,0,1,0,automark.co.za
0,53,0.0,0,1,0,0,1191,1,3,1,0,0,1,0,avenberg.hu
0,57,0.0,0,2,0,0,3650,0,7,1,0,0,1,0,axa-assistance.pl
0,53,0.0,0,0,0,0,1777,0,6,1,0,0,1,0,axaequitablecenter.com
0,57,0.0,0,7,0,0,946,0,2,1,0,0,1,0,banani.co
0,57,0.0,0,10,0,0,3650,0,4,1,0,0,1,0,bishop-accountability.org
0,57,0.0,0,6,0,0,3650,0,2,1,0,0,1,0,boomsolutions.com
0,55,0.0,0,2,0,0,71,0,2,0,0,0,1,0,brwskit.com
0,57,0.0,0,10,0,0,3650,1,4,0,0,0,1,0,buycheapr.com
0,56,0.0,0,2,0,0,0,0,2,1,0,0,0,0,carlosgutierrez.com.uy
0,56,0.0,0,0,0,0,470,1,2,1,0,0,1,0,creatorlabs.in
0,56,0.0,0,10,0,0,3650,0,2,1,0,0,1,0,esprit-barbecue.fr
0,56,0.0,0,0,0,0,144,1,2,0,0,0,1,0,fresharenahub.nl
0,56,0.0,0,10,0,0,3650,0,2,1,0,0,1,0,futureuae.com
0,56,0.0,0,3,0,0,3650,0,6,1,0,0,1,0,hcsc.com
0,56,0.0,0,4,0,0,3650,0,2,1,0,0,1,0,hkv.hr
1,54,0.01818181818181818,0,10,0,0,1080,0,4,1,0,0,1,0,infakts.ru
0,57,0.0,0,3,0,0,3650,0,3,1,0,0,1,0,intecracy.com
0,55,0.0,0,8,0,0,3650,0,2,1,0,0,1,0,iranmodares.com
0,56,0.0,0,5,0,0,2614,0,4,1,0,0,1,0,j-d.digital
0,56,0.0,0,7,0,0,3650,0,2,1,0,0,1,0,jsi.com
0,57,0.0,0,10,0,0,2783,1,2,0,0,0,1,0,karma-riuk.com
0,58,0.0,0,3,0,0,0,0,8,1,0,0,0,0,mbway.pt
0,56,0.0,0,4,0,0,3592,0,3,1,1,0,1,0,mindigbutor.hu
0,56,0.0,0,9,0,0,1063,1,2,0,0,0,1,0,minepiece.net
0,55,0.0,0,4,0,0,3279,0,3,1,0,0,1,0,mojeturnaje.cz
0,56,0.0,0,9,0,0,3650,0,2,1,1,0,1,0,mpowerfinancing.com
0,56,0.0,0,10,0,0,3650,1,2,1,0,0,1,0,namayandehyab.com
0,56,0.0,0,0,0,0,222,1,2,0,0,0,1,0,neatmemo.us
0,56,0.0,0,0,0,0,419,1,2,0,0,0,1,0,nestmediax.com
0,55,0.0,0,0,0,0,159,1,2,0,0,0,1,0,pacearena.co.uk
0,56,0.0,0,10,0,0,3650,1,4,1,1,0,1,0,poweredbyonsite.com
0,53,0.0,0,0,0,0,218,0,0,0,0,0,1,0,rinxo.be
0,56,0.0,0,0,0,0,331,1,4,0,0,0,1,0,sberopedia.org
0,57,0.0,0,8,0,0,3650,0,2,1,0,0,1,0,scottsdalerealtors.org
0,56,0.0,0,8,0,0,3650,0,2,1,0,0,1,0,shuttleworthfoundation.org
0,57,0.0,0,10,0,0,3650,0,4,1,0,0,1,0,solidstatelogic.com
0,56,0.0,0,3,0,0,3650,0,2,1,0,0,1,0,southorangevillage.com
0,55,0.0,0,10,0,0,3650,1,2,1,0,0,1,0,sportsoft.cz
0,56,0.0,0,4,0,0,3650,1,4,1,0,0,1,0,thrivetrm.com
0,59,0.0,0,10,0,0,3650,1,2,1,0,0,1,0,timestables.com
0,55,0.0,0,1,0,0,1632,0,2,1,0,0,1,0,vibes.mba
0,56,0.0,0,3,0,0,3650,1,4,1,0,0,1,0,virt.biz
0,57,0.0,0,10,0,0,3650,1,2,1,0,0,1,0,zeoworks.com
