malicious_votes,harmless_votes,malicious_ratio,shodan_blocked,dns_record_count,total_open_ports,high_risk_country,domain_age_days,has_wildcard_dns,nameserver_count,has_mx,otx_pulse_count,urlhaus_listed,domain_age_known,label,indicator
13,44,0.2280701754385964,0,0,0,0,131,1,2,1,3,1,1,1,0
7,49,0.125,0,4,0,0,2289,0,3,1,1,1,1,1,0
9,48,0.1578947368421052,0,0,0,0,153,0,0,0,0,1,1,1,0
5,51,0.0892857142857142,0,0,0,0,146,0,2,0,0,0,1,1,0
15,44,0.2542372881355932,0,0,0,0,124,0,0,0,0,1,1,1,0
7,48,0.1272727272727272,0,0,0,0,130,0,0,0,2,1,1,1,0
3,54,0.0526315789473684,0,0,0,0,198,0,2,0,0,0,1,1,0
4,55,0.0677966101694915,0,5,0,0,3650,0,2,1,1,0,1,1,0
9,47,0.1607142857142857,0,0,0,0,128,0,0,0,1,1,1,1,0
9,47,0.1607142857142857,0,0,0,0,128,0,0,0,0,1,1,1,0
5,50,0.0909090909090909,0,0,0,0,3650,0,0,0,0,0,1,1,0
1,58,0.0169491525423728,0,10,0,0,3650,0,0,0,0,1,1,1,0
12,46,0.2068965517241379,0,0,0,0,3650,0,0,1,0,1,1,1,0
17,42,0.288135593220339,0,0,0,0,3650,0,2,0,2,1,1,1,0
6,52,0.1034482758620689,0,10,0,0,3650,1,2,1,1,1,1,1,0
4,51,0.0727272727272727,0,3,0,0,2130,0,2,1,0,0,1,1,0
15,44,0.2542372881355932,0,0,0,0,85,0,0,0,2,1,1,1,0
10,48,0.1724137931034483,0,5,0,0,1514,0,2,1,1,0,1,1,0
5,51,0.0892857142857142,0,0,0,0,20,0,2,0,0,0,1,1,0
5,54,0.0847457627118644,0,2,0,0,1209,0,2,1,1,0,1,1,0
2,53,0.0363636363636363,0,5,0,0,3650,0,2,1,0,0,1,1,0
7,53,0.1166666666666666,0,10,0,0,3650,0,2,1,1,0,1,1,0
2,55,0.0350877192982456,0,0,0,0,2756,0,2,0,0,0,1,1,0
11,44,0.2,0,0,0,0,128,0,0,0,0,1,1,1,0
4,53,0.0701754385964912,0,6,0,0,3650,0,2,1,1,0,1,1,0
4,52,0.0714285714285714,0,0,0,0,3650,1,3,1,0,0,1,1,0
6,52,0.1034482758620689,0,3,0,0,3121,0,2,1,1,0,1,1,0
6,51,0.1052631578947368,0,0,0,0,295,0,2,1,0,0,1,1,0
7,50,0.1228070175438596,0,0,0,0,316,0,2,1,0,0,1,1,0
8,49,0.1403508771929824,0,0,0,0,13,0,0,0,1,1,1,1,0
7,47,0.1296296296296296,0,0,0,0,74,0,2,0,0,0,1,1,0
10,49,0.1694915254237288,0,0,0,0,1464,1,0,0,0,1,1,1,0
5,52,0.087719298245614,0,0,0,0,261,0,2,1,0,0,1,1,0
0,55,0.0,0,2,0,0,0,0,2,1,0,1,0,1,0
4,53,0.0701754385964912,0,0,0,0,1464,1,0,0,0,1,1,1,0
3,50,0.0566037735849056,0,0,0,0,6,1,2,0,0,0,1,1,0
6,53,0.1016949152542373,0,10,0,0,0,0,2,1,0,0,0,1,0
2,52,0.037037037037037,0,10,0,0,2574,1,2,1,0,0,1,1,0
10,46,0.1785714285714285,0,10,0,0,3650,0,2,1,0,1,1,1,0
7,51,0.1206896551724138,0,2,0,0,2459,0,2,1,1,0,1,1,0
9,48,0.1578947368421052,0,0,0,0,1464,1,0,0,0,1,1,1,0
2,52,0.037037037037037,0,0,0,0,295,0,0,0,0,0,1,1,0
5,52,0.087719298245614,0,0,0,0,355,0,2,1,1,1,1,1,0
3,52,0.0545454545454545,0,0,0,0,9,0,0,0,0,1,1,1,0
8,50,0.1379310344827586,0,4,0,0,0,0,3,1,1,0,0,1,0
17,42,0.288135593220339,0,0,0,0,386,0,0,0,0,0,1,1,0
3,50,0.0566037735849056,0,0,0,0,258,0,0,0,0,0,1,1,0
10,45,0.1818181818181818,0,1,0,0,153,0,0,0,0,1,1,1,0
5,51,0.0892857142857142,0,5,0,0,0,0,2,1,1,0,0,1,0
10,50,0.1666666666666666,0,3,0,0,3650,0,2,1,1,0,1,1,0
7,49,0.125,0,0,0,0,172,0,0,0,0,1,1,1,0
17,42,0.288135593220339,0,0,0,0,36,0,0,0,2,1,1,1,0
12,45,0.2105263157894736,0,0,0,0,130,0,0,0,1,1,1,1,0
0,55,0.0,0,3,0,0,3317,1,0,0,0,1,1,1,0
4,53,0.0701754385964912,0,0,0,0,0,0,2,1,1,0,0,1,0
3,52,0.0545454545454545,0,0,0,0,305,0,0,0,0,0,1,1,0
7,49,0.125,0,0,0,0,6,0,2,0,0,0,1,1,0
0,56,0.0,0,0,0,0,316,0,2,1,0,0,1,1,0
10,47,0.175438596491228,0,0,0,0,153,0,0,0,0,1,1,1,0
2,52,0.037037037037037,0,0,0,0,338,0,0,0,0,0,1,1,0
3,49,0.0576923076923076,0,9,0,0,9,0,0,0,0,0,1,1,0
6,50,0.1071428571428571,0,0,0,0,302,0,2,0,0,0,1,1,0
5,51,0.0892857142857142,0,0,0,0,261,0,0,0,0,0,1,1,0
0,55,0.0,0,3,0,0,2743,0,2,1,1,0,1,1,0
2,54,0.0357142857142857,0,10,0,0,3650,0,2,1,0,0,1,1,0
5,53,0.0862068965517241,0,0,0,0,0,0,2,1,0,0,0,1,0
7,52,0.1186440677966101,0,0,0,0,3650,0,0,0,0,0,1,1,0
17,40,0.2982456140350877,0,0,0,0,23,0,2,0,4,1,1,1,0
3,54,0.0526315789473684,0,2,0,0,0,0,2,1,1,0,0,1,0
11,48,0.1864406779661017,0,0,0,0,7,0,0,0,2,0,1,1,0
4,52,0.0714285714285714,0,0,0,0,574,0,2,1,0,0,1,1,0
17,43,0.2833333333333333,0,2,0,0,0,0,2,0,3,1,0,1,0
7,51,0.1206896551724138,0,10,0,0,0,0,2,0,0,0,0,1,0
5,54,0.0847457627118644,0,0,0,0,2402,1,0,0,0,1,1,1,0
5,54,0.0847457627118644,0,0,0,0,858,0,4,1,1,0,1,1,0
5,51,0.0892857142857142,0,0,0,0,666,0,2,1,0,0,1,1,0
6,52,0.1034482758620689,0,0,0,0,316,0,2,1,0,0,1,1,0
6,47,0.1132075471698113,0,0,0,0,130,0,0,0,0,1,1,1,0
12,42,0.2222222222222222,0,0,0,0,130,0,0,0,1,1,1,1,0
18,42,0.3,0,0,0,0,167,0,0,0,0,1,1,1,0
2,54,0.0357142857142857,0,6,0,0,3250,0,2,1,0,0,1,1,0
